ticker,company_name,sector,n_years_scored,mean_authenticity_score,mean_cosine_centered,sd_cosine_centered,mean_cosine_raw,centroid_cosine_raw,centroid_cosine_centered
LOW,Lowe's,Consumer Discretionary,5,79.6,0.5914,0.059,0.5488,0.5636,0.6082
TJX,TJX Companies,Consumer Discretionary,8,77.5,0.5505,0.0899,0.576,0.6246,0.6962
OXY,Occidental Petroleum,Energy,4,76.7,0.5335,0.0603,0.6171,0.5872,0.7359
AXP,American Express,Financials,2,75.6,0.5128,0.0489,0.4954,0.507,0.528
IBM,IBM,Technology,5,75.2,0.5043,0.1507,0.5974,0.5645,0.4346
ABBV,AbbVie,Healthcare,8,72.5,0.4504,0.1746,0.6105,0.6452,0.7126
XOM,ExxonMobil,Energy,8,70.0,0.4001,0.2917,0.5319,0.6197,0.6598
GS,Goldman Sachs,Financials,9,69.2,0.3843,0.3515,0.4366,0.5909,0.8319
VLO,Valero Energy,Energy,5,68.4,0.3672,0.2423,0.6131,0.5659,0.4015
AMZN,Amazon,Consumer Discretionary,7,66.0,0.32,0.3669,0.6612,0.7145,0.2178
PSX,Phillips 66,Energy,8,65.4,0.308,0.1346,0.7762,0.8261,0.3873
SCHW,Charles Schwab,Financials,9,65.3,0.3064,0.2596,0.5588,0.6069,0.5082
MCD,McDonald's,Consumer Discretionary,8,64.7,0.2931,0.2248,0.2239,0.2117,0.2495
CRM,Salesforce,Technology,8,63.4,0.268,0.108,0.4168,0.428,0.2695
ORCL,Oracle,Technology,7,62.9,0.2575,0.2967,0.4124,0.4407,0.2819
INTC,Intel,Technology,9,62.4,0.2479,0.2419,0.7631,0.8488,0.4139
SLB,SLB (Schlumberger),Energy,6,62.2,0.2443,0.2059,0.5864,0.5678,0.4702
NVDA,NVIDIA,Technology,6,58.6,0.1727,0.2488,0.2687,0.2781,0.1587
TMO,Thermo Fisher Scientific,Healthcare,8,58.5,0.1705,0.1457,0.2303,0.233,0.1822
GOOGL,Alphabet,Technology,9,57.6,0.1521,0.1512,0.7341,0.7542,0.1824
MRK,Merck,Healthcare,9,56.6,0.1317,0.1683,0.5407,0.5432,0.1641
CVX,Chevron,Energy,9,52.6,0.052,0.3464,0.8112,0.8908,0.0606
AVGO,Broadcom,Technology,6,51.0,0.0198,0.1096,0.2598,0.2616,0.05
MDT,Medtronic,Healthcare,9,50.8,0.0163,0.2911,0.5712,0.528,-0.177
F,Ford Motor,Consumer Discretionary,9,50.5,0.0108,0.212,0.2959,0.3034,0.0698
META,Meta Platforms,Technology,9,50.0,0.0002,0.1325,0.2836,0.2976,-0.063
MSFT,Microsoft,Technology,9,49.9,-0.001,0.1201,0.4733,0.4771,-0.092
PFE,Pfizer,Healthcare,9,49.2,-0.0164,0.183,0.7931,0.7972,-0.1096
WFC,Wells Fargo,Financials,9,49.0,-0.0198,0.3923,0.5727,0.6105,-0.3365
SBUX,Starbucks,Consumer Discretionary,8,49.0,-0.0207,0.1182,0.2221,0.2419,-0.0948
BAC,Bank of America,Financials,9,48.8,-0.0243,0.1796,0.2321,0.3333,0.2331
TGT,Target,Consumer Discretionary,7,48.3,-0.0334,0.0629,0.2863,0.2786,-0.0499
MPC,Marathon Petroleum,Energy,6,47.1,-0.0576,0.2244,0.871,0.9073,0.0992
HAL,Halliburton,Energy,9,47.0,-0.0609,0.1342,0.3779,0.396,-0.1055
HD,Home Depot,Consumer Discretionary,9,46.3,-0.0733,0.3318,0.2807,0.3314,-0.1164
TSLA,Tesla,Consumer Discretionary,9,46.3,-0.0738,0.1449,0.3171,0.3563,-0.1212
JNJ,Johnson & Johnson,Healthcare,9,45.4,-0.0923,0.1726,0.495,0.5764,-0.0696
EOG,EOG Resources,Energy,7,45.1,-0.0982,0.4839,0.2781,0.3101,-0.1388
BMY,Bristol-Myers Squibb,Healthcare,8,44.9,-0.1011,0.3333,0.5558,0.5594,-0.3828
MS,Morgan Stanley,Financials,9,44.7,-0.1061,0.3068,0.2747,0.2632,-0.1968
LLY,Eli Lilly,Healthcare,9,43.8,-0.1229,0.1744,0.5322,0.5351,-0.1347
JPM,JPMorgan Chase,Financials,9,43.7,-0.1257,0.3082,0.5432,0.6057,-0.2396
NKE,Nike,Consumer Discretionary,9,43.7,-0.1259,0.3791,0.4965,0.4605,-0.3762
COP,ConocoPhillips,Energy,8,36.7,-0.2663,0.2092,0.4968,0.5084,-0.3644
C,Citigroup,Financials,8,35.8,-0.2832,0.1617,0.4283,0.4669,-0.3749
BLK,BlackRock,Financials,9,35.6,-0.2874,0.3192,0.5085,0.7274,-0.2271
ABT,Abbott Laboratories,Healthcare,9,32.9,-0.3428,0.075,0.2365,0.2373,-0.3749
UNH,UnitedHealth Group,Healthcare,7,28.8,-0.4234,0.0871,0.2796,0.2842,-0.4455
