side,category,sd_early_2016_2018,sd_late_2022_2024,delta,pct_change
disclosed,financial_growth_shareholder,0.11615,0.07777,-0.03838,-33.0
disclosed,people_talent,0.0646,0.04417,-0.02043,-31.6
disclosed,quality_excellence,0.02578,0.01938,-0.0064,-24.8
disclosed,integrity_ethics,0.05102,0.03993,-0.01109,-21.7
disclosed,global_scale_reach,0.02601,0.02091,-0.0051,-19.6
disclosed,diversity_inclusion,0.05957,0.05586,-0.00371,-6.2
disclosed,customer_focus,0.02333,0.02263,-0.0007,-3.0
disclosed,innovation_technology,0.03902,0.03945,0.00043,1.1
disclosed,community_social_impact,0.01059,0.01443,0.00384,36.3
disclosed,sustainability_environment,0.04199,0.0668,0.02481,59.1
stated,customer_focus,0.18281,0.12519,-0.05762,-31.5
stated,integrity_ethics,0.11086,0.07875,-0.03211,-29.0
stated,quality_excellence,0.0801,0.05775,-0.02235,-27.9
stated,people_talent,0.13684,0.10128,-0.03556,-26.0
stated,global_scale_reach,0.15708,0.12283,-0.03425,-21.8
stated,diversity_inclusion,0.10303,0.08395,-0.01908,-18.5
stated,financial_growth_shareholder,0.16283,0.13712,-0.02571,-15.8
stated,community_social_impact,0.19977,0.17802,-0.02175,-10.9
stated,innovation_technology,0.1785,0.20931,0.03081,17.3
stated,sustainability_environment,0.13284,0.17275,0.03991,30.0
